geo_id,geo_name,tot_pop,white_pct,black_pct,white_tot,black_tot,generic_location_based_premium,location_effect,is_in_detroit
26025003100,Census Tract 31,2901.0,0.921,0.008,2671.0,23.0,6584.0,0.89,False
26025003200,Census Tract 32,2287.0,0.903,0.029,2065.0,67.0,6584.0,0.89,False
26025003300,Census Tract 33,1839.0,0.74,0.177,1360.0,325.0,6584.0,0.89,False
26025003400,Census Tract 34,2039.0,0.717,0.15,1461.0,306.0,6662.0,0.9,False
26025003500,Census Tract 35,2403.0,0.741,0.131,1780.0,315.0,6584.0,0.89,False
26025003600,Census Tract 36,2007.0,0.304,0.585,611.0,1175.0,6576.0,0.89,False
26025003700,Census Tract 37,4663.0,0.881,0.012,4108.0,56.0,6876.0,0.93,False
26025003800,Census Tract 38,4164.0,0.88,0.001,3663.0,6.0,6597.0,0.89,False
26025003900,Census Tract 39,4792.0,0.948,0.001,4543.0,5.0,6300.0,0.85,False
26025004000,Census Tract 40,3958.0,0.912,0.006,3609.0,23.0,6370.0,0.86,False
26025004100,Census Tract 41,2044.0,0.48,0.281,981.0,574.0,6540.0,0.88,False
26027001000,Census Tract 10,3819.0,0.907,0.0,3464.0,0.0,7169.0,0.97,False
26027001100,Census Tract 11,2844.0,0.856,0.002,2434.0,7.0,7169.0,0.97,False
26027001200,Census Tract 12,3246.0,0.88,0.005,2855.0,16.0,7169.0,0.97,False
26027001500,Census Tract 15,3489.0,0.848,0.055,2958.0,193.0,7169.0,0.97,False
26027001600,Census Tract 16,3836.0,0.695,0.089,2666.0,340.0,7018.0,0.95,False
26027001700,Census Tract 17,5133.0,0.931,0.006,4780.0,29.0,7078.0,0.95,False
26027001800,Census Tract 18,7657.0,0.937,0.002,7172.0,15.0,7169.0,0.97,False
26027001900,Census Tract 19,5284.0,0.825,0.048,4361.0,254.0,7169.0,0.97,False
26027002000,Census Tract 20,4404.0,0.874,0.04,3850.0,174.0,7197.0,0.97,False
26027002100,Census Tract 21,5933.0,0.714,0.16,4234.0,947.0,7169.0,0.97,False
