geography_factor_id,rate_bodily_injury,rate_property_damage,rate_pip,rate_collision,rate_comprehensive,rate_um_uim,generic_location_based_premium,weighted_mean,location_effect,company,vehicle_type,factor_circumvented,factor_name,geography_factor,geography_type,tract_fips,latitude,place_name_fips,longitude,county_fips,block_group_fips,zip,territory,zip_code
9818,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9818,49818
9819,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9819,49819
9820,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9820,49820
9821,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9821,49821
9822,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9822,49822
9825,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9825,49825
9826,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9826,49826
9827,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9827,49827
9829,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9829,49829
9831,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9831,49831
9833,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9833,49833
9834,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9834,49834
9835,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9835,49835
9836,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9836,49836
9837,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9837,49837
9838,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9838,49838
9839,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9839,49839
9840,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9840,49840
9841,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9841,49841
9845,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9845,49845
9847,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9847,49847
9848,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9848,49848
9849,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9849,49849
9852,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9852,49852
9853,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9853,49853
9854,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9854,49854
9855,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9855,49855
9858,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9858,49858
9861,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9861,49861
9862,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9862,49862
9863,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9863,49863
9864,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9864,49864
9865,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9865,49865
9866,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9866,49866
9868,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9868,49868
9870,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9870,49870
9871,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9871,49871
9872,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9872,49872
9873,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9873,49873
9874,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9874,49874
9876,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9876,49876
9877,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9877,49877
9878,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9878,49878
9879,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9879,49879
9880,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9880,49880
9881,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9881,49881
9883,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9883,49883
9884,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9884,49884
9885,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9885,49885
