tr2010ge,tot_pop_wt,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,nhopi_tot_wt,other_tot_wt,two_more_tot_wt,latin_tot_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,nhopi_pct_wt,other_pct_wt,two_more_pct_wt,latin_pct_wt
26021002000,3326.0,1261.0,1723.0,0.0,15.0,0.0,0.0,303.0,24.0,0.379,0.518,0.0,0.005,0.0,0.0,0.091,0.007
26021002100,2692.0,763.0,1760.0,17.0,0.0,0.0,0.0,32.0,120.0,0.283,0.654,0.006,0.0,0.0,0.0,0.012,0.045
26021002200,2852.0,76.0,2498.0,0.0,0.0,0.0,0.0,13.0,265.0,0.027,0.876,0.0,0.0,0.0,0.0,0.005,0.093
26021002300,1879.0,365.0,754.0,27.0,0.0,41.0,0.0,105.0,587.0,0.194,0.401,0.014,0.0,0.022,0.0,0.056,0.312
26021002400,1789.0,1643.0,105.0,0.0,0.0,0.0,0.0,35.0,6.0,0.918,0.059,0.0,0.0,0.0,0.0,0.02,0.003
26021002500,2181.0,1326.0,596.0,0.0,0.0,0.0,0.0,80.0,179.0,0.608,0.273,0.0,0.0,0.0,0.0,0.037,0.082
26021010100,3250.0,2812.0,102.0,0.0,14.0,0.0,3.0,255.0,64.0,0.865,0.031,0.0,0.004,0.0,0.001,0.078,0.02
26021010200,6219.0,5641.0,107.0,0.0,0.0,0.0,141.0,144.0,186.0,0.907,0.017,0.0,0.0,0.0,0.023,0.023,0.03
26021010300,4919.0,3986.0,165.0,37.0,81.0,0.0,0.0,199.0,451.0,0.81,0.034,0.008,0.016,0.0,0.0,0.04,0.092
26021010400,2687.0,2256.0,75.0,6.0,2.0,0.0,21.0,115.0,212.0,0.84,0.028,0.002,0.001,0.0,0.008,0.043,0.079
26021010500,2257.0,1791.0,77.0,17.0,25.0,0.0,0.0,25.0,322.0,0.794,0.034,0.008,0.011,0.0,0.0,0.011,0.143
26021010600,4869.0,3785.0,100.0,0.0,135.0,0.0,29.0,245.0,575.0,0.777,0.021,0.0,0.028,0.0,0.006,0.05,0.118
