bg2010ge,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,other_tot_wt,latin_tot_wt,tot_pop_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,other_pct_wt,latin_pct_wt
260050320001,1637.0,0.0,0.0,0.0,0.0,365.0,2002.0,0.818,0.0,0.0,0.0,0.0,0.182
260050320002,1344.0,0.0,0.0,0.0,0.0,0.0,1344.0,1.0,0.0,0.0,0.0,0.0,0.0
260050320003,1043.0,14.0,0.0,7.0,0.0,230.0,1294.0,0.806,0.011,0.0,0.005,0.0,0.178
260050320004,623.0,51.0,0.0,0.0,0.0,54.0,728.0,0.856,0.07,0.0,0.0,0.0,0.074
260050321001,1236.0,24.0,0.0,0.0,7.0,50.0,1317.0,0.938,0.018,0.0,0.0,0.005,0.038
260050321002,2046.0,21.0,59.0,0.0,0.0,37.0,2163.0,0.946,0.01,0.027,0.0,0.0,0.017
260050321003,616.0,0.0,7.0,0.0,0.0,155.0,778.0,0.792,0.0,0.009,0.0,0.0,0.199
260050322001,1992.0,74.0,0.0,52.0,0.0,721.0,2839.0,0.702,0.026,0.0,0.018,0.0,0.254
260050322002,1084.0,24.0,0.0,0.0,0.0,84.0,1192.0,0.909,0.02,0.0,0.0,0.0,0.07
260050322003,1562.0,173.0,0.0,0.0,0.0,71.0,1806.0,0.865,0.096,0.0,0.0,0.0,0.039
260050324011,790.0,27.0,0.0,60.0,0.0,627.0,1504.0,0.525,0.018,0.0,0.04,0.0,0.417
260050324021,1280.0,0.0,0.0,0.0,0.0,22.0,1302.0,0.983,0.0,0.0,0.0,0.0,0.017
260050324022,1486.0,0.0,1.0,20.0,0.0,29.0,1536.0,0.967,0.0,0.001,0.013,0.0,0.019
260050324023,1164.0,12.0,27.0,35.0,0.0,25.0,1263.0,0.922,0.01,0.021,0.028,0.0,0.02
260050326001,1170.0,45.0,0.0,14.0,0.0,85.0,1314.0,0.89,0.034,0.0,0.011,0.0,0.065
260059900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260070001001,606.0,0.0,0.0,0.0,0.0,4.0,610.0,0.993,0.0,0.0,0.0,0.0,0.007
