LOCATION ZONE,Bodily Injury,Property Damage,PIP,NON MED,Collision,Comprehensive,UM - Single Car,UM - Multi Car,UIM - Single Car,UIM - Multi Car
N4331250W08486250,375.29,65.04,"2,293.95",237.39,273.16,37.68,19.68,19.68,26.19,26.19
N4331250W08484750,379.93,59.21,"2,219.55",229.69,273.97,39.01,19.68,19.68,26.19,26.19
N4331250W08483250,389.01,55.46,"2,261.91",234.07,273.21,43.90,19.68,19.68,26.19,26.19
N4331250W08481750,389.01,55.46,"2,261.91",234.07,273.21,43.90,19.68,19.68,26.19,26.19
N4331250W08480250,389.01,55.46,"2,261.91",234.07,273.21,43.90,19.68,19.68,26.19,26.19
N4331250W08478750,389.01,55.46,"2,261.91",234.07,273.21,43.90,19.68,19.68,26.19,26.19
N4331250W08477250,389.01,55.46,"2,261.91",234.07,273.21,43.90,19.68,19.68,26.19,26.19
N4331250W08475750,389.01,55.46,"2,261.91",234.07,273.21,43.90,19.68,19.68,26.19,26.19
N4331250W08474250,390.26,53.32,"2,245.24",232.35,272.94,37.52,19.68,19.68,26.19,26.19
N4331250W08472750,390.92,52.19,"2,236.42",231.44,272.79,34.14,19.68,19.68,26.19,26.19
N4331250W08471250,391.85,51.91,"2,246.20",232.45,272.69,34.25,19.68,19.68,26.19,26.19
N4331250W08469750,399.29,51.35,"2,349.93",243.18,271.98,40.96,19.68,19.68,26.19,26.19
N4331250W08468250,393.75,51.77,"2,272.64",235.18,272.51,35.96,19.68,19.68,26.19,26.19
N4331250W08466750,397.10,51.52,"2,319.36",240.02,272.19,38.99,19.68,19.68,26.19,26.19
N4331250W08465250,403.00,51.07,"2,401.82",248.55,271.62,44.32,19.68,19.68,26.19,26.19
N4331250W08463750,403.00,51.07,"2,401.82",248.55,271.62,44.32,19.68,19.68,26.19,26.19
N4331250W08462250,403.00,51.07,"2,401.82",248.55,271.62,44.32,19.68,19.68,26.19,26.19
N4331250W08460750,403.00,51.07,"2,401.82",248.55,271.62,44.32,19.68,19.68,26.19,26.19
N4331250W08459250,403.00,51.07,"2,401.82",248.55,271.62,44.32,19.68,19.68,26.19,26.19
N4331250W08457750,403.00,51.07,"2,401.82",248.55,271.62,44.32,19.68,19.68,26.19,26.19
N4331250W08456250,403.00,51.07,"2,401.82",248.55,271.62,44.32,19.68,19.68,26.19,26.19
N4331250W08454750,403.00,51.07,"2,401.82",248.55,271.62,44.32,19.68,19.68,26.19,26.19
N4331250W08453250,403.00,51.07,"2,401.82",248.55,271.62,44.32,19.68,19.68,26.19,26.19
N4331250W08451750,403.00,51.07,"2,401.82",248.55,271.62,44.32,19.68,19.68,26.19,26.19
N4331250W08450250,403.00,51.07,"2,401.82",248.55,271.62,44.32,19.68,19.68,26.19,26.19
N4331250W08448750,403.00,51.07,"2,401.82",248.55,271.62,44.32,19.68,19.68,26.19,26.19
N4331250W08447250,400.23,48.87,"2,316.44",239.72,272.05,40.26,19.68,19.68,26.19,26.19
N4331250W08445750,393.68,43.66,"2,114.09",218.78,273.04,30.62,19.68,19.68,26.19,26.19
N4331250W08444250,393.69,43.67,"2,114.55",218.82,273.04,30.64,19.68,19.68,26.19,26.19
N4331250W08442750,394.85,41.76,"2,112.52",218.61,272.65,32.13,19.68,19.68,26.19,26.19
N4331250W08441250,395.56,40.54,"2,110.56",218.41,272.42,33.03,19.68,19.68,26.19,26.19
N4331250W08439750,395.56,40.54,"2,110.56",218.41,272.42,33.03,19.68,19.68,26.19,26.19
N4331250W08438250,404.01,39.24,"2,004.21",207.41,271.83,28.51,19.68,19.68,26.19,26.19
N4331250W08436750,405.18,39.06,"1,989.51",205.88,271.75,27.88,19.68,19.68,26.19,26.19
N4331250W08435250,410.21,45.17,"2,122.29",219.62,272.87,28.63,19.68,19.68,26.19,26.19
N4331250W08433750,420.70,58.97,"2,429.20",251.39,275.44,30.71,19.68,19.68,26.19,26.19
N4331250W08432250,420.77,59.08,"2,431.40",251.61,275.47,30.73,19.68,19.68,26.19,26.19
